miRNA,lncRNA
hsa-let-7a-5p,RP11.545E17.3
hsa-let-7a-5p,RP11.561N12.5
hsa-let-7a-5p,RP11.57H14.4
hsa-let-7a-5p,RP11.588K22.2
hsa-let-7a-5p,RP11.66B24.4
hsa-let-7a-5p,RP11.712P20.2
hsa-let-7a-5p,RP11.731J8.2
hsa-let-7a-5p,RP11.745I13.1
hsa-let-7a-5p,RP11.747H7.3
hsa-let-7a-5p,RP11.74C1.2
hsa-let-7a-5p,RP11.752G15.3
hsa-let-7a-5p,RP11.75A9.3
hsa-let-7a-5p,RP11.785H5.1
hsa-let-7a-5p,RP1.178F15.5
hsa-let-7a-5p,RP11.78O7.2
hsa-let-7a-5p,RP11.819C21.1
hsa-let-7a-5p,RP11.822E23.8
hsa-let-7a-5p,RP11.824M15.3
hsa-let-7a-5p,RP11.82H13.2
hsa-let-7a-5p,RP11.834C11.4
hsa-let-7a-5p,RP11.923I11.8
hsa-let-7a-5p,RP11.96D1.10
hsa-let-7a-5p,RP1.39G22.7
hsa-let-7a-5p,RP3.329A5.8
hsa-let-7a-5p,RP3.368A4.5
hsa-let-7a-5p,RP3.467N11.2
hsa-let-7a-5p,RP4.561L24.3
hsa-let-7a-5p,RP4.655L22.4
hsa-let-7a-5p,RP4.758J24.5
hsa-let-7a-5p,RP4.773N10.4
hsa-let-7a-5p,RP4.798A10.2
hsa-let-7a-5p,RP5.984P4.6
hsa-let-7a-5p,RPL14P1
hsa-let-7a-5p,RPL3P4
hsa-let-7a-5p,RPL4P4
hsa-let-7a-5p,RPLP0P6
