miRNA,lncRNA
hsa-miR-323a-3p,TFG
hsa-miR-323a-3p,TIMM21
hsa-miR-323a-3p,TMED4
hsa-miR-323a-3p,TNPO1
hsa-miR-323a-3p,TPD52
hsa-miR-323a-3p,TRA2A
hsa-miR-323a-3p,TRMT1L
hsa-miR-323a-3p,TSC22D2
hsa-miR-323a-3p,TSIX
hsa-miR-323a-3p,TXN
hsa-miR-323a-3p,TYW3
hsa-miR-323a-3p,UBE2V2
hsa-miR-323a-3p,UGT3A2
hsa-miR-323a-3p,VEGFA
hsa-miR-323a-3p,VTI1A
hsa-miR-323a-3p,WDR12
hsa-miR-323a-3p,XIST
hsa-miR-323a-3p,YAF2
hsa-miR-323a-3p,ZBTB38
hsa-miR-323a-3p,ZDHHC17
hsa-miR-323a-3p,ZHX1
hsa-miR-323a-3p,ZMYM6
hsa-miR-323a-3p,ZNF207
hsa-miR-323a-3p,ZNF678
hsa-miR-323a-3p,ZNF749
hsa-miR-323a-3p,ZNF93
hsa-miR-323a-3p,ZNRD1.AS1
hsa-miR-323a-5p,AC103564.6
hsa-miR-323a-5p,AC116366.6
hsa-miR-323a-5p,ACTBP9
hsa-miR-323a-5p,CASC7
hsa-miR-323a-5p,CTD.2540L5.6
hsa-miR-323a-5p,EEF1A1P5
hsa-miR-323a-5p,FAM211A.AS1
hsa-miR-323a-5p,FAM24B.CUZD1
hsa-miR-323a-5p,GAPDHP1
hsa-miR-323a-5p,GAPDHP76
hsa-miR-323a-5p,GAS5
hsa-miR-323a-5p,HNRNPKP4
hsa-miR-323a-5p,HSPD1P1
hsa-miR-323a-5p,HTR7P1
hsa-miR-323a-5p,IPW
hsa-miR-323a-5p,LINC00657
hsa-miR-323a-5p,LOC100289495
hsa-miR-323a-5p,LOC100506281
hsa-miR-323a-5p,LOC100507424
hsa-miR-323a-5p,LRRC75A.AS1
hsa-miR-323a-5p,MEG3
hsa-miR-323a-5p,MIR7.3HG
hsa-miR-323a-5p,MTATP6P1
hsa-miR-323a-5p,MTND5P13
hsa-miR-323a-5p,NEAT1
hsa-miR-323a-5p,NFYC.AS1
hsa-miR-323a-5p,NIFKP6
hsa-miR-323a-5p,PABPC1P4
hsa-miR-323a-5p,RANP1
hsa-miR-323a-5p,RBMXP2
hsa-miR-323a-5p,RP11.19G24.1
hsa-miR-323a-5p,RP11.331F4.4
hsa-miR-323a-5p,RP11.334C17.5
hsa-miR-323a-5p,RP11.347H15.2
hsa-miR-323a-5p,RP11.425L10.1
hsa-miR-323a-5p,RP11.436H11.1
hsa-miR-323a-5p,RP11.475C16.1
hsa-miR-323a-5p,RP11.532F12.5
hsa-miR-323a-5p,RP11.602M11.3
hsa-miR-323a-5p,RP11.9L18.2
hsa-miR-323a-5p,RP4.671O14.6
hsa-miR-323a-5p,RP4.813F11.4
hsa-miR-323a-5p,RP5.1014D13.2
hsa-miR-323a-5p,RPL37P6
hsa-miR-323a-5p,RPS2P41
hsa-miR-323a-5p,SCDP1
hsa-miR-323a-5p,SHC1P1
hsa-miR-323a-5p,SMARCE1P5
hsa-miR-323a-5p,SMG1P6
hsa-miR-323a-5p,SNHG14
hsa-miR-323a-5p,SNORA67
hsa-miR-323a-5p,SPECC1L.ADORA2A
hsa-miR-323a-5p,TINCR
hsa-miR-32-3p,AC004893.11
hsa-miR-32-3p,AC009506.2
hsa-miR-32-3p,AC013394.2
hsa-miR-32-3p,AC022431.1
hsa-miR-32-3p,AC098614.2
hsa-miR-32-3p,AC105399.2
hsa-miR-32-3p,BZW1P2
hsa-miR-32-3p,CASC7
hsa-miR-32-3p,CTB.89H12.4
hsa-miR-32-3p,CTC.451P13.1
hsa-miR-32-3p,CTD.2554C21.1
hsa-miR-32-3p,CYP51A1P1
hsa-miR-32-3p,DDX10P1
hsa-miR-32-3p,DYNC1I2P1
hsa-miR-32-3p,EEF1A1P11
hsa-miR-32-3p,EEF1A1P19
hsa-miR-32-3p,EEF1A1P26
hsa-miR-32-3p,EEF1A1P4
hsa-miR-32-3p,EEF1A1P9
hsa-miR-32-3p,EIF1AXP1
hsa-miR-32-3p,ENO1P1
hsa-miR-32-3p,ERVK13.1
hsa-miR-32-3p,FAM211A.AS1
hsa-miR-32-3p,FAM60BP
hsa-miR-32-3p,FLJ31306
hsa-miR-32-3p,GAS5
hsa-miR-32-3p,HNRNPA1P12
hsa-miR-32-3p,HNRNPA1P35
hsa-miR-32-3p,HNRNPCP2
hsa-miR-32-3p,HNRNPCP3
hsa-miR-32-3p,HOXA10.HOXA9
hsa-miR-32-3p,HSPA8P7
hsa-miR-32-3p,HSPD1P1
hsa-miR-32-3p,LINC00641
hsa-miR-32-3p,LINC00657
hsa-miR-32-3p,LINC00971
hsa-miR-32-3p,LINC01091
hsa-miR-32-3p,LOC100507217
hsa-miR-32-3p,LOC90784
hsa-miR-32-3p,LRRC75A.AS1
hsa-miR-32-3p,MALAT1
hsa-miR-32-3p,MGC27345
hsa-miR-32-3p,MRPL3P1
hsa-miR-32-3p,MTATP6P2
hsa-miR-32-3p,MTRNR2L2
hsa-miR-32-3p,NEAT1
hsa-miR-32-3p,OIP5.AS1
hsa-miR-32-3p,PABPC1P4
hsa-miR-32-3p,PCAT19
hsa-miR-32-3p,RAB30.AS1
hsa-miR-32-3p,RBM26.AS1
hsa-miR-32-3p,RP11.166D19.1
hsa-miR-32-3p,RP11.171I2.2
hsa-miR-32-3p,RP11.1O2.1
hsa-miR-32-3p,RP11.308N19.5
hsa-miR-32-3p,RP11.333J10.2
hsa-miR-32-3p,RP11.334L9.1
hsa-miR-32-3p,RP11.380G5.3
hsa-miR-32-3p,RP11.395B7.7
hsa-miR-32-3p,RP11.438B23.2
hsa-miR-32-3p,RP11.477E3.2
hsa-miR-32-3p,RP11.53O19.3
hsa-miR-32-3p,RP11.554D20.2
hsa-miR-32-3p,RP11.627K11.1
hsa-miR-32-3p,RP11.62E14.2
hsa-miR-32-3p,RP11.690D19.3
hsa-miR-32-3p,RP11.7D5.2
hsa-miR-32-3p,RP11.94L15.2
hsa-miR-32-3p,RP13.212L9.1
hsa-miR-32-3p,RP4.612B15.2
hsa-miR-32-3p,RP4.701O16.5
hsa-miR-32-3p,RP5.1112D6.4
hsa-miR-32-3p,RP5.894D12.4
hsa-miR-32-3p,RP5.935K16.1
hsa-miR-32-3p,RP6.24A23.7
hsa-miR-32-3p,RPL14P1
hsa-miR-32-3p,RPL17P22
hsa-miR-32-3p,RPL17P33
hsa-miR-32-3p,RPS13P2
hsa-miR-32-3p,RPS19P3
hsa-miR-32-3p,RPS3AP6
hsa-miR-32-3p,RPS7P1
hsa-miR-32-3p,SCARNA10
hsa-miR-32-3p,SCARNA15
hsa-miR-32-3p,SEPT2P1
hsa-miR-32-3p,SLMO2.ATP5E
hsa-miR-32-3p,SMG1P3
hsa-miR-32-3p,ST13P13
hsa-miR-32-3p,ST13P15
hsa-miR-32-3p,ST13P3
hsa-miR-32-3p,TNKS2.AS1
hsa-miR-32-3p,TTC3P1
hsa-miR-32-3p,TXLNGY
hsa-miR-32-3p,TXNP1
hsa-miR-32-3p,XIST
hsa-miR-324-3p,AC007283.5
hsa-miR-324-3p,AC012065.7
hsa-miR-324-3p,AC012309.5
hsa-miR-324-3p,AC074363.1
hsa-miR-324-3p,AC074391.1
hsa-miR-324-3p,AC091633.2
hsa-miR-324-3p,AC097523.1
hsa-miR-324-3p,AC156455.1
hsa-miR-324-3p,AP000347.2
hsa-miR-324-3p,ASB16.AS1
hsa-miR-324-3p,ATP5F1P1
hsa-miR-324-3p,ATP5G2P4
hsa-miR-324-3p,BLOC1S5.TXNDC5
hsa-miR-324-3p,CASC7
hsa-miR-324-3p,CCDC144CP
hsa-miR-324-3p,chr22.38_28785274.29006793.1
hsa-miR-324-3p,CTB.131B5.5
hsa-miR-324-3p,CTC.273B12.8
hsa-miR-324-3p,CTC.451P13.1
hsa-miR-324-3p,CTD.2228K2.7
hsa-miR-324-3p,CTD.2517M22.14
hsa-miR-324-3p,CYP4F23P
hsa-miR-324-3p,CYP4F35P
hsa-miR-324-3p,DIO3OS
hsa-miR-324-3p,DYX1C1.CCPG1
hsa-miR-324-3p,ENO1P1
hsa-miR-324-3p,FAM83H.AS1
hsa-miR-324-3p,FGD5.AS1
hsa-miR-324-3p,FLJ31306
hsa-miR-324-3p,GABPB1.AS1
hsa-miR-324-3p,H19
hsa-miR-324-3p,HNRNPA1P11
hsa-miR-324-3p,HNRNPA1P35
hsa-miR-324-3p,HNRNPA3P10
hsa-miR-324-3p,HNRNPA3P5
hsa-miR-324-3p,HNRNPU.AS1
hsa-miR-324-3p,HSP90AB3P
hsa-miR-324-3p,HSPD1P1
hsa-miR-324-3p,HSPD1P5
hsa-miR-324-3p,KCNQ1OT1
hsa-miR-324-3p,LINC00176
hsa-miR-324-3p,LINC00641
hsa-miR-324-3p,LINC00894
hsa-miR-324-3p,LINC01097
hsa-miR-324-3p,LOC100294145
hsa-miR-324-3p,LOC100507472
hsa-miR-324-3p,LOC101927045
hsa-miR-324-3p,LOC90784
hsa-miR-324-3p,MALAT1
hsa-miR-324-3p,MEG3
hsa-miR-324-3p,MIR17HG
hsa-miR-324-3p,MIR4534
hsa-miR-324-3p,MYO15B
hsa-miR-324-3p,N4BP2L2.IT2
hsa-miR-324-3p,NACA3P
hsa-miR-324-3p,NACAP3
hsa-miR-324-3p,NAP1L4P3
hsa-miR-324-3p,NDUFA6.AS1
hsa-miR-324-3p,NDUFA9P1
hsa-miR-324-3p,NEAT1
hsa-miR-324-3p,NME2P1
hsa-miR-324-3p,OIP5.AS1
hsa-miR-324-3p,PKMP1
hsa-miR-324-3p,PP7080
hsa-miR-324-3p,PTENP1
hsa-miR-324-3p,RAB4B.EGLN2
hsa-miR-324-3p,RAD51L3.RFFL
hsa-miR-324-3p,RALGAPA1P
hsa-miR-324-3p,RMRP
hsa-miR-324-3p,RP11.1033A18.1
hsa-miR-324-3p,RP11.115H13.1
hsa-miR-324-3p,RP11.1246C19.1
hsa-miR-324-3p,RP11.127B20.2
hsa-miR-324-3p,RP11.138A9.1
hsa-miR-324-3p,RP11.147L13.13
hsa-miR-324-3p,RP11.159D12.2
hsa-miR-324-3p,RP1.117B12.4
hsa-miR-324-3p,RP11.183G22.1
hsa-miR-324-3p,RP11.196G18.22
hsa-miR-324-3p,RP11.2B6.2
hsa-miR-324-3p,RP11.319G6.1
hsa-miR-324-3p,RP11.352G18.2
hsa-miR-324-3p,RP11.372E1.1
hsa-miR-324-3p,RP11.379H18.1
hsa-miR-324-3p,RP11.390P24.1
hsa-miR-324-3p,RP11.401P9.1
hsa-miR-324-3p,RP11.438L7.3
hsa-miR-324-3p,RP11.44N21.4
hsa-miR-324-3p,RP11.457K10.2
hsa-miR-324-3p,RP11.51L5.2
hsa-miR-324-3p,RP11.531A24.3
hsa-miR-324-3p,RP11.54O7.1
hsa-miR-324-3p,RP11.57C19.2
hsa-miR-324-3p,RP11.69M1.3
hsa-miR-324-3p,RP11.717D12.1
hsa-miR-324-3p,RP11.71H17.9
hsa-miR-324-3p,RP11.727A23.5
hsa-miR-324-3p,RP1.172N19.4
hsa-miR-324-3p,RP11.778D9.4
hsa-miR-324-3p,RP11.80H5.5
hsa-miR-324-3p,RP11.84A19.2
hsa-miR-324-3p,RP3.423B22.5
hsa-miR-324-3p,RP5.1139B12.2
hsa-miR-324-3p,RP5.901A4.1
hsa-miR-324-3p,RPL23AP78
hsa-miR-324-3p,RPL37P2
hsa-miR-324-3p,RPL5P17
hsa-miR-324-3p,RPS21P4
hsa-miR-324-3p,SDCBPP3
hsa-miR-324-3p,SHANK3
hsa-miR-324-3p,SLC2A3P1
hsa-miR-324-3p,SLFNL1.AS1
hsa-miR-324-3p,SNHG1
hsa-miR-324-3p,SNHG16
hsa-miR-324-3p,SNHG22
hsa-miR-324-3p,SNHG8
hsa-miR-324-3p,SRP72P2
hsa-miR-324-3p,ST8SIA6.AS1
hsa-miR-324-3p,STAG3L5P
hsa-miR-324-3p,STAG3L5P.PVRIG2P.PILRB
hsa-miR-324-3p,TDH
hsa-miR-324-3p,TDPX2
hsa-miR-324-3p,TRAF3IP2.AS1
hsa-miR-324-3p,TTC3P1
hsa-miR-324-3p,U73166.2
hsa-miR-324-3p,XIST
hsa-miR-324-3p,ZNF37BP
hsa-miR-324-5p,AC006116.13
hsa-miR-324-5p,AC009948.7
hsa-miR-324-5p,AC010522.1
hsa-miR-324-5p,AC090602.2
hsa-miR-324-5p,AC135048.13
hsa-miR-324-5p,AFG3L1P
hsa-miR-324-5p,ANXA2P2
hsa-miR-324-5p,AP000679.2
hsa-miR-324-5p,AP000936.1
hsa-miR-324-5p,ATP6V1G2.DDX39B
hsa-miR-324-5p,CASC4P1
hsa-miR-324-5p,CASC7
hsa-miR-324-5p,CCDC144CP
hsa-miR-324-5p,CELP
hsa-miR-324-5p,CHCHD3P3
hsa-miR-324-5p,COL6A4P2
hsa-miR-324-5p,CRHR1.IT1
hsa-miR-324-5p,CTC.205M6.5
hsa-miR-324-5p,CTD.2044J15.2
hsa-miR-324-5p,CTD.2228K2.7
hsa-miR-324-5p,CYP2D8P
hsa-miR-324-5p,CYP51A1P2
hsa-miR-324-5p,EIF3FP3
hsa-miR-324-5p,FLJ31306
hsa-miR-324-5p,FLJ31356
hsa-miR-324-5p,FNTAL1
hsa-miR-324-5p,FTLP3
hsa-miR-324-5p,HEIH
hsa-miR-324-5p,HMGN2P46
hsa-miR-324-5p,HOXA10.HOXA9
hsa-miR-324-5p,HTR7P1
hsa-miR-324-5p,KCNQ1OT1
hsa-miR-324-5p,KRT8P3
hsa-miR-324-5p,LINC00894
hsa-miR-324-5p,LINC00963
hsa-miR-324-5p,LOC100128288
hsa-miR-324-5p,MAGOH2
hsa-miR-324-5p,MALAT1
hsa-miR-324-5p,MEG3
hsa-miR-324-5p,MIR17HG
hsa-miR-324-5p,MIR4534
hsa-miR-324-5p,MIR7.3HG
hsa-miR-324-5p,MSNP1
hsa-miR-324-5p,NEAT1
hsa-miR-324-5p,NSUN5P1
hsa-miR-324-5p,PAXIP1.AS2
hsa-miR-324-5p,PAXIP1OS
hsa-miR-324-5p,PDIA3P1
hsa-miR-324-5p,PHBP3
hsa-miR-324-5p,RAB4B.EGLN2
hsa-miR-324-5p,RNF216P1
hsa-miR-324-5p,RNU12
hsa-miR-324-5p,ROCK1P1
hsa-miR-324-5p,RP11.1275H24.1
hsa-miR-324-5p,RP11.147K6.2
hsa-miR-324-5p,RP11.158H5.7
hsa-miR-324-5p,RP11.212P7.2
hsa-miR-324-5p,RP11.217O12.1
hsa-miR-324-5p,RP11.255H23.2
hsa-miR-324-5p,RP11.255L13.1
hsa-miR-324-5p,RP11.260M2.1
hsa-miR-324-5p,RP11.297M9.2
hsa-miR-324-5p,RP11.350F4.2
hsa-miR-324-5p,RP11.409C19.2
hsa-miR-324-5p,RP11.417L19.2
hsa-miR-324-5p,RP11.443F16.1
hsa-miR-324-5p,RP11.478J18.2
hsa-miR-324-5p,RP11.53O19.3
hsa-miR-324-5p,RP11.54O7.3
hsa-miR-324-5p,RP11.582E3.6
hsa-miR-324-5p,RP11.640L9.1
hsa-miR-324-5p,RP11.750B16.1
hsa-miR-324-5p,RP11.771F20.1
hsa-miR-324-5p,RP11.89N17.4
hsa-miR-324-5p,RP11.90H3.1
hsa-miR-324-5p,RP11.9L18.2
hsa-miR-324-5p,RP1.269M15.3
hsa-miR-324-5p,RP3.465N24.6
hsa-miR-324-5p,RP4.605O3.4
hsa-miR-324-5p,RP4.773N10.4
hsa-miR-324-5p,RPPH1
hsa-miR-324-5p,RPS20P22
hsa-miR-324-5p,SERF2.C15ORF63
hsa-miR-324-5p,SNHG7
hsa-miR-324-5p,SNORA67
hsa-miR-324-5p,SRP72P2
hsa-miR-324-5p,SRSF9P1
hsa-miR-324-5p,TAPT1.AS1
hsa-miR-324-5p,TMX2.CTNND1
hsa-miR-324-5p,TP73.AS1
hsa-miR-324-5p,XIST
hsa-miR-324-5p,XXbac.B461K10.4
hsa-miR-324-5p,ZNF37BP
hsa-miR-325,LINC00641
hsa-miR-325,NEAT1
hsa-miR-325,RP11.533F5.2
hsa-miR-325,RPL39P5
hsa-miR-325,RPPH1
hsa-miR-32-5p,AC005154.6
hsa-miR-32-5p,AC005307.3
hsa-miR-32-5p,AC016739.2
hsa-miR-32-5p,AC087294.2
hsa-miR-32-5p,AC114755.2
hsa-miR-32-5p,AC140076.1
hsa-miR-32-5p,APTR
hsa-miR-32-5p,BZW1P2
hsa-miR-32-5p,CASC7
hsa-miR-32-5p,chr22.38_28785274.29006793.1
hsa-miR-32-5p,CTA.228A9.3
hsa-miR-32-5p,CTA.989H11.1
hsa-miR-32-5p,CTB.152G17.6
hsa-miR-32-5p,CTD.2117L12.3
hsa-miR-32-5p,CTD.2369P2.8
hsa-miR-32-5p,CTD.2555O16.4
hsa-miR-32-5p,CTD.2587M2.1
hsa-miR-32-5p,CTD.2666L21.3
hsa-miR-32-5p,CTD.3099C6.9
hsa-miR-32-5p,DAPK1.IT1
hsa-miR-32-5p,DNAJC3.AS1
hsa-miR-32-5p,DPY19L1P2
hsa-miR-32-5p,EIF3FP3
hsa-miR-32-5p,EIF4A2P4
hsa-miR-32-5p,FGD5.AS1
hsa-miR-32-5p,FTH1P11
hsa-miR-32-5p,FTH1P2
hsa-miR-32-5p,FTH1P20
hsa-miR-32-5p,GAS5
hsa-miR-32-5p,GJA9.MYCBP
hsa-miR-32-5p,GS1.279B7.1
hsa-miR-32-5p,HCP5
hsa-miR-32-5p,HMGB1P11
hsa-miR-32-5p,HNRNPKP4
hsa-miR-32-5p,HOXA10.HOXA9
hsa-miR-32-5p,LDHAP3
hsa-miR-32-5p,LINC00094
hsa-miR-32-5p,LINC00511
hsa-miR-32-5p,LINC00630
hsa-miR-32-5p,LINC00657
hsa-miR-32-5p,LINC01024
hsa-miR-32-5p,LINC01128
hsa-miR-32-5p,LOC100294145
hsa-miR-32-5p,LOC90784
hsa-miR-32-5p,MALAT1
hsa-miR-32-5p,MIR4534
hsa-miR-32-5p,MIR6723
hsa-miR-32-5p,MTATP6P1
hsa-miR-32-5p,MTND2P28
hsa-miR-32-5p,NEAT1
hsa-miR-32-5p,OIP5.AS1
hsa-miR-32-5p,PITPNA.AS1
hsa-miR-32-5p,PSPC1P1
hsa-miR-32-5p,RP11.13N13.2
hsa-miR-32-5p,RP11.148B6.1
hsa-miR-32-5p,RP11.196G18.24
hsa-miR-32-5p,RP11.213L8.1
hsa-miR-32-5p,RP11.214K3.21
hsa-miR-32-5p,RP11.252I13.1
hsa-miR-32-5p,RP11.305K5.1
hsa-miR-32-5p,RP11.332E4.1
hsa-miR-32-5p,RP11.342K6.1
hsa-miR-32-5p,RP11.349K21.1
hsa-miR-32-5p,RP11.395G23.3
hsa-miR-32-5p,RP11.410E4.1
hsa-miR-32-5p,RP11.43F13.1
hsa-miR-32-5p,RP11.507E23.1
hsa-miR-32-5p,RP11.515E23.1
hsa-miR-32-5p,RP11.531A24.3
hsa-miR-32-5p,RP11.545M17.2
hsa-miR-32-5p,RP11.54O7.14
hsa-miR-32-5p,RP11.611O2.3
hsa-miR-32-5p,RP11.64K7.1
hsa-miR-32-5p,RP11.674E16.4
hsa-miR-32-5p,RP11.67L2.2
hsa-miR-32-5p,RP11.77H9.2
hsa-miR-32-5p,RP11.797A18.6
hsa-miR-32-5p,RP11.959I15.1
hsa-miR-32-5p,RP1.234P15.4
hsa-miR-32-5p,RP1.89D4.1
hsa-miR-32-5p,RP1.95L4.2
hsa-miR-32-5p,RP6.24A23.7
hsa-miR-32-5p,RPL17P20
hsa-miR-32-5p,RPL17P22
hsa-miR-32-5p,RPL17P25
hsa-miR-32-5p,RPL17P33
hsa-miR-32-5p,RPL17P43
hsa-miR-32-5p,RPL24P4
hsa-miR-32-5p,RPL30P4
hsa-miR-32-5p,RPS13P2
hsa-miR-32-5p,RPS20P33
hsa-miR-32-5p,RRN3P3
hsa-miR-32-5p,SLMO2.ATP5E
hsa-miR-32-5p,SNHG1
hsa-miR-32-5p,SNHG5
hsa-miR-32-5p,SNORD91A
hsa-miR-32-5p,ST13P15
hsa-miR-32-5p,SVIL.AS1
hsa-miR-32-5p,THUMPD3.AS1
hsa-miR-32-5p,TLK1P1
hsa-miR-32-5p,XIST
hsa-miR-32-5p,ZFP91.CNTF
hsa-miR-326,A1BG.AS1
hsa-miR-326,AASDHPPT
hsa-miR-326,ABHD17A
hsa-miR-326,AC002401.1
hsa-miR-326,AC004112.4
hsa-miR-326,AC004447.2
hsa-miR-326,AC004951.6
hsa-miR-326,AC005154.6
hsa-miR-326,AC005559.3
hsa-miR-326,AC005789.11
hsa-miR-326,AC007283.5
hsa-miR-326,AC009120.6
hsa-miR-326,AC009133.12
hsa-miR-326,AC010970.2
hsa-miR-326,AC018766.6
hsa-miR-326,AC083873.4
hsa-miR-326,AC093734.1
hsa-miR-326,AC098820.3
hsa-miR-326,AC100791.1
hsa-miR-326,AC156455.1
hsa-miR-326,ACAP3
hsa-miR-326,ACSF3
hsa-miR-326,ADAR
hsa-miR-326,ADD3
hsa-miR-326,AES
hsa-miR-326,AHRR
hsa-miR-326,AKT1
hsa-miR-326,AKT2
hsa-miR-326,AL049542.1
hsa-miR-326,ALG3
hsa-miR-326,ANKZF1
hsa-miR-326,AP001062.7
hsa-miR-326,AP001065.2
hsa-miR-326,APLP2
hsa-miR-326,ARFRP1
hsa-miR-326,ARRDC1.AS1
hsa-miR-326,ASMTL.AS1
hsa-miR-326,ASPSCR1
hsa-miR-326,ATP5J2
hsa-miR-326,ATP6V0E2.AS1
hsa-miR-326,AURKB
hsa-miR-326,BIRC5
hsa-miR-326,BOLA3
hsa-miR-326,BREA2
hsa-miR-326,C14orf166
hsa-miR-326,C14orf37
hsa-miR-326,C16orf80
hsa-miR-326,C17orf76.AS1
hsa-miR-326,C1GALT1
hsa-miR-326,C1orf132
hsa-miR-326,C1orf159
hsa-miR-326,C22orf43
hsa-miR-326,C4orf46
hsa-miR-326,C9orf37
hsa-miR-326,CANT1
hsa-miR-326,CARS2
hsa-miR-326,CASC3
hsa-miR-326,CASC7
hsa-miR-326,CCDC14
hsa-miR-326,CCNL1
hsa-miR-326,CCNL2
hsa-miR-326,CD4
hsa-miR-326,CD63
hsa-miR-326,CDC42P1
hsa-miR-326,CDC42P5
hsa-miR-326,CDC42P6
hsa-miR-326,CDCA3
hsa-miR-326,CEP164P1
hsa-miR-326,CEP57L1P1
hsa-miR-326,CHTF18
hsa-miR-326,CHUK
hsa-miR-326,CLCC1
hsa-miR-326,CLK2
hsa-miR-326,CNOT1
hsa-miR-326,CPSF3L
hsa-miR-326,CRCP
hsa-miR-326,CRHR1.IT1
hsa-miR-326,CSNK1D
hsa-miR-326,CSNK1G2.AS1
hsa-miR-326,CSNK2B
hsa-miR-326,CTA.315H11.2
hsa-miR-326,CTA.445C9.14
hsa-miR-326,CTA.796E4.5
hsa-miR-326,CTA.989H11.1
hsa-miR-326,CTB.12A17.3
hsa-miR-326,CTB.175P5.4
hsa-miR-326,CTB.31O20.4
hsa-miR-326,CTB.50E14.5
hsa-miR-326,CTB.89H12.4
hsa-miR-326,CTC.228N24.3
hsa-miR-326,CTC.250I14.3
hsa-miR-326,CTC.512J12.4
hsa-miR-326,CTD.2007L18.5
hsa-miR-326,CTD.2023N9.1
hsa-miR-326,CTD.2083E4.6
hsa-miR-326,CTD.2228K2.7
hsa-miR-326,CTD.2281E23.1
hsa-miR-326,CTD.2524L6.3
hsa-miR-326,CTD.2587H24.14
hsa-miR-326,CTD.2636A23.2
hsa-miR-326,CTSA
hsa-miR-326,CUL3
hsa-miR-326,CXorf23
hsa-miR-326,CXorf40B
hsa-miR-326,CYCSP23
hsa-miR-326,DCDC2B
hsa-miR-326,DDX56
hsa-miR-326,DECR2
hsa-miR-326,DHRS13
hsa-miR-326,DHRS4.AS1
hsa-miR-326,DLGAP1.AS1
hsa-miR-326,DMKN
hsa-miR-326,DNAH14
hsa-miR-326,DPY19L1
hsa-miR-326,DTL
hsa-miR-326,DYX1C1.CCPG1
hsa-miR-326,E4F1
hsa-miR-326,EARS2
hsa-miR-326,EIF1
hsa-miR-326,EIF1AXP1
hsa-miR-326,EIF3FP3
hsa-miR-326,EIF4G1
hsa-miR-326,EMC7
hsa-miR-326,EME2
hsa-miR-326,ENO1
hsa-miR-326,ENO1P1
hsa-miR-326,ENSA
hsa-miR-326,EPN2.IT1
hsa-miR-326,ERI3.IT1
hsa-miR-326,ESYT2
hsa-miR-326,ETFA
hsa-miR-326,FADS1
hsa-miR-326,FAM120AOS
hsa-miR-326,FAM174A
hsa-miR-326,FAM204A
hsa-miR-326,FAM207A
hsa-miR-326,FBXL16
hsa-miR-326,FBXO11
hsa-miR-326,FGD5.AS1
hsa-miR-326,FLI1.AS1
hsa-miR-326,FOXH1
hsa-miR-326,FOXK2
hsa-miR-326,FTH1P14
hsa-miR-326,GABRA2
hsa-miR-326,GATA2.AS1
hsa-miR-326,GGA3
hsa-miR-326,GJA9.MYCBP
hsa-miR-326,GLYCTK.AS1
hsa-miR-326,GNB2L1
hsa-miR-326,GNL1
hsa-miR-326,GOLGA7
hsa-miR-326,GPATCH4
hsa-miR-326,GPCPD1
hsa-miR-326,GPI
hsa-miR-326,GPRC5A
hsa-miR-326,GPS2
hsa-miR-326,GS1.124K5.2
hsa-miR-326,GS1.257G1.1
hsa-miR-326,GTPBP10
hsa-miR-326,GTPBP2
hsa-miR-326,H19
hsa-miR-326,h19
hsa-miR-326,HAGLROS
hsa-miR-326,HCG18
hsa-miR-326,HDAC1P2
hsa-miR-326,HDGF
hsa-miR-326,HDLBP
hsa-miR-326,HHIP.AS1
hsa-miR-326,HLA.F.AS1
hsa-miR-326,HLA.L
hsa-miR-326,HMGN1
hsa-miR-326,HNRNPA3P11
hsa-miR-326,HNRNPH1
hsa-miR-326,HNRNPUL1
hsa-miR-326,HOXC10
hsa-miR-326,HS6ST1P1
hsa-miR-326,HSDL1
hsa-miR-326,HSP90AA4P
hsa-miR-326,IARS
hsa-miR-326,INO80B
hsa-miR-326,INO80B.WBP1
hsa-miR-326,INTS4
hsa-miR-326,IPO9.AS1
hsa-miR-326,IRAK1
hsa-miR-326,IRF1
hsa-miR-326,ITGB7
hsa-miR-326,KB.1980E6.3
hsa-miR-326,KCNQ1OT1
hsa-miR-326,KRTCAP2
hsa-miR-326,LA16c.313D11.9
hsa-miR-326,LDHB
hsa-miR-326,LINC00086
hsa-miR-326,LINC00106
hsa-miR-326,LINC00176
hsa-miR-326,LINC00202.1
hsa-miR-326,LINC00273
hsa-miR-326,LINC00339
hsa-miR-326,LINC00511
hsa-miR-326,LINC00638
hsa-miR-326,LINC00657
hsa-miR-326,LINC00894
hsa-miR-326,LINC00910
hsa-miR-326,LINC00958
hsa-miR-326,LINC01097
hsa-miR-326,LOXL1.AS1
hsa-miR-326,LRCH3
hsa-miR-326,LRRD1
hsa-miR-326,MALAT1
hsa-miR-326,MAU2
hsa-miR-326,MAZ
hsa-miR-326,MCRS1
hsa-miR-326,MECR
hsa-miR-326,MEG3
hsa-miR-326,METTL22
hsa-miR-326,METTL9
hsa-miR-326,MFI2
hsa-miR-326,MFSD12
hsa-miR-326,MFSD4
hsa-miR-326,MFSD8
hsa-miR-326,MIR10A
hsa-miR-326,MIR210HG
hsa-miR-326,MIR4435.1HG
hsa-miR-326,MLF2
hsa-miR-326,MMP24.AS1
hsa-miR-326,MOB1AP1
hsa-miR-326,MRPL20
hsa-miR-326,MT1XP1
hsa-miR-326,MT2P1
hsa-miR-326,MTRR
hsa-miR-326,MUS81
hsa-miR-326,MYCBP
hsa-miR-326,MYSM1
hsa-miR-326,NACA
