,1,2,4,5,6,7,8,9,10,12,13,14,15,16,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,77,78,79,117,118,119,120,121,122,123,126,127,128,130,131,132,133,134,135,138,140,141,142,144,145,146,147,149,153,155,156,159,162,163,164,165
AQP4-AS1,36.6722,45.36054,46.44548,50.91262,58.51082,57.22873,43.62987,74.67481,69.84045,36.71093,43.56003,83.15783,64.69361,57.74724,47.181,48.7825,47.52271,77.91737,56.94718,59.22246,63.6328,60.27303,61.2797,55.29141,53.88623,59.76104,38.55255,45.27933,54.74926,76.5917,44.96468,31.86416,28.52238,52.23914,39.99198,61.63181,47.36567,63.41927,62.54563,28.81889,80.14174,39.65865,52.61233,48.07424,31.45574,42.21376,56.22818,46.7808,42.1003,37.52619,35.03593,58.95751,70.03887,57.43951,56.07281,56.01035,60.92762,47.28541,54.36391,60.18724,52.49383,58.43474,49.15829,51.91984,29.49557,46.55477,36.24593,58.15346,48.40487,49.77584,60.89984,46.70611,60.4022,47.18029,65.19302,100.80522,61.87087,37.47143,46.43276,15.82047,55.27292,52.38816,47.39538,44.13352,38.99275,41.66378,52.38493,45.10708,55.42095,63.79325,41.43692,34.55391,97.3616,38.9209,9.47549,40.6259,43.54117,18.84715,88.93412,63.94765,60.28288,43.94891,50.68819,81.50055
ARHGAP19-SLIT1,28.41459,18.51869,42.42536,25.14574,29.38203,17.71657,26.96492,19.51678,25.09617,26.59619,25.46227,20.90516,30.44605,27.2261,14.64762,23.25748,21.23528,20.85389,15.63414,22.32232,15.35573,28.22475,23.60643,19.76474,17.96337,24.04926,26.27908,13.54004,23.48345,31.13463,29.70987,20.45775,22.36863,19.95537,24.9408,22.44004,25.65707,28.0454,27.57069,22.34215,20.17552,20.4161,24.11173,24.24787,42.74185,23.75574,33.26174,22.95695,19.89174,20.20733,16.32797,24.44414,42.38633,22.04144,17.59562,26.62217,23.70972,20.92941,23.70874,37.46346,24.47081,33.79226,51.70839,25.72184,24.55881,30.48392,21.35843,13.95211,18.55829,16.11644,25.26268,24.44026,37.14429,27.20549,20.03144,42.4349,13.38593,39.13065,40.13465,15.40644,24.08929,31.91317,16.74005,16.97377,26.24147,31.93525,23.64129,3.08397,25.83879,19.11253,27.85382,17.76977,10.51355,31.17044,19.2379,26.19781,19.59198,36.88967,30.10161,22.47529,28.07729,25.04325,17.69544,33.2027
ARHGAP5-AS1,39.44804,36.72844,62.70865,50.43205,47.20937,43.2471,48.96918,33.34455,53.03376,45.46533,29.35366,52.16675,48.15713,33.15267,38.98757,31.44994,43.68923,42.80647,40.97616,71.22975,37.88102,49.26742,43.64399,43.43594,37.49413,38.4565,38.96833,31.46993,39.94788,44.27119,49.61797,40.55195,28.1212,36.41474,48.58349,48.22049,37.61085,39.97923,53.46753,53.99003,48.97154,40.4086,45.27899,45.89206,59.35844,52.73344,54.32658,49.55679,38.15318,42.00077,41.79147,36.65414,66.81896,36.8037,40.53702,42.0948,48.41808,49.19287,50.44691,51.93584,46.99094,47.94505,114.00501,39.282,38.41724,59.85211,48.29051,40.65419,39.32678,48.44632,30.62354,38.43995,88.8163,52.42469,24.64926,88.29188,53.0678,65.16874,73.02391,39.89617,47.08311,42.24914,32.41275,40.82419,55.56365,69.06814,34.7024,25.85719,57.69277,36.51862,39.46032,59.4403,38.44815,56.6002,35.63912,54.57288,43.32701,80.01386,87.47238,41.10356,53.10343,48.68156,47.82987,57.40275
ARRDC1-AS1,117.99105,114.07639,115.14051,91.70717,112.56284,87.6813,103.60511,90.30001,132.67878,116.62535,123.45346,81.26575,124.54819,89.67607,117.27264,58.22768,113.53366,103.40026,100.97928,99.13032,69.98951,101.18251,114.14153,104.36365,90.06461,108.68697,111.00368,112.1718,106.94872,101.49254,117.89448,121.92392,99.69694,102.63153,131.0945,102.70622,102.92528,95.63101,94.09009,136.54622,99.53036,134.32225,117.26438,105.65724,111.65185,97.5684,128.18422,93.32792,118.16174,124.90598,98.30564,116.63585,99.16616,90.51869,96.02095,90.22615,111.73967,127.13281,130.80472,126.22402,99.67854,92.31798,67.96371,79.63384,103.18766,91.84324,101.81579,109.96857,103.18475,86.12793,100.79728,118.31463,94.72614,105.51761,56.71128,94.34474,102.65754,139.29497,129.98614,110.4796,99.41613,126.36039,87.84072,108.63937,127.05359,118.40952,61.43701,110.67943,107.90847,95.5599,126.15635,130.71767,68.29949,102.76645,97.66317,143.61728,105.21916,194.72389,137.42378,118.34731,106.27966,125.39373,93.94283,92.12718
ASB16-AS1,185.63991,190.2065,252.55734,186.53071,220.62407,174.17463,229.28088,143.25758,225.75951,222.42766,238.35134,189.31916,212.00008,234.27629,249.55858,189.18199,237.95761,221.05404,224.7317,174.63204,187.45094,241.09518,220.46164,191.16216,208.65743,222.26758,196.94778,238.98908,201.29923,199.22009,257.08502,242.85618,205.96384,206.73591,260.54086,221.80106,234.81437,208.83092,215.46562,258.26499,179.14872,232.07709,202.26822,216.82062,253.65334,225.67823,246.34136,188.01632,225.04736,214.70725,246.82465,235.67514,243.70638,177.98222,201.54259,204.09498,249.80964,217.52829,205.87655,230.91869,211.67067,184.72177,130.30364,171.53051,257.35308,204.16386,198.11082,226.18036,232.65531,195.21057,191.79048,214.29328,287.41352,261.5616,183.35654,195.50528,240.27629,245.09467,305.33721,223.95193,231.09517,265.61169,238.7947,239.43748,236.84523,272.74535,173.86603,194.61186,258.80603,219.68959,257.88159,268.893,106.01247,249.66,154.65938,334.39636,204.73798,333.7006,294.78574,248.31655,268.78952,222.83466,182.39587,209.60266
ASMTL-AS1,100.297165,92.09759,137.11535,96.70915,109.624245,82.76917,93.103275,76.81338,119.06634,96.83265,93.91736,131.523225,96.30476,85.51196,92.71934,86.7536,117.262405,96.359745,99.09993,115.37976,98.15898,128.469725,105.01904,125.65514,117.97009,98.58852,125.254685,98.113025,124.51757,113.70692,143.40746,109.588915,90.34742,85.070525,121.321785,105.05985,110.40165,132.271635,130.761235,100.34715,104.19434,97.56615,89.044815,91.427,123.83648,125.02724,131.58751,83.47178,95.820795,92.488135,86.688655,129.49568,178.64151,110.00855,112.549675,92.37354,87.923325,108.722385,101.651795,109.70748,106.336285,116.67213,214.97699,96.48203,113.478865,120.704365,83.8334,126.95354,72.12974,99.49379,113.91803,83.871395,149.12552,78.02137,77.218155,164.935475,77.211755,145.660665,130.78113,78.424675,90.53089,93.9815,94.89534,89.880665,115.098905,117.171505,111.265105,84.248285,110.66257,119.814455,82.130225,106.90728,99.761745,89.20362,52.26124,86.91451,83.67249,122.301475,125.990165,98.25754,110.73976,107.14913,106.336585,138.690155
ATP6V0E2-AS1,165.81448,85.64493,131.73331,179.63995,181.46836,99.66728,112.97746,206.8858,222.43832,155.45681,160.15951,124.93052,157.28354,168.18377,150.12823,66.96717,133.1983,122.10269,84.2575,102.87105,75.27182,147.63835,138.78155,124.10993,92.95687,112.88356,112.67644,168.20739,140.24087,101.06088,149.90334,156.7998,122.94284,134.72386,129.86709,144.49158,130.32199,103.90086,119.2951,176.80629,135.42865,160.6998,149.36685,139.46112,123.36488,119.46647,140.46725,141.82365,112.41304,178.46587,130.71723,151.07238,147.28315,135.6417,132.12422,100.49735,131.69796,122.87542,133.27781,200.81601,126.35705,124.29998,147.96936,119.56752,138.57257,141.23407,222.25649,149.47026,234.94382,139.99574,106.56975,122.27068,137.29307,146.72025,137.38846,185.8467,149.68575,188.60361,132.63065,108.62748,154.40837,131.6009,149.52062,168.15836,149.12082,170.70432,95.7603,123.41892,133.78027,96.48381,150.94074,191.86181,102.71011,130.37516,118.17093,131.30043,136.71737,144.45018,170.44555,109.15046,120.555,170.52777,128.37427,128.43139
B3GALT5-AS1,54.54149,54.87013,64.28395,52.72272,47.54209,36.74602,50.69673,36.91689,46.17664,54.68398,48.25087,49.40618,65.09035,57.91547,48.03497,58.31301,51.75708,54.35834,39.13377,51.62007,49.81859,48.00389,37.62048,52.72325,51.4117,47.8308,40.82445,40.74068,41.77171,45.25988,45.72007,39.11523,49.49371,46.91479,56.44621,56.91721,51.44515,49.46269,52.16456,55.89085,44.4503,61.70651,54.8693,64.11176,60.24538,52.46395,55.78443,45.86414,63.00186,64.17866,45.24996,61.0941,75.43543,41.31433,59.07349,53.51153,58.74908,36.18443,47.0819,52.22333,47.97697,58.74979,147.19384,51.98513,66.68385,53.01678,55.47926,47.62741,52.83901,55.74505,60.45221,30.91843,68.31695,41.9493,63.71168,155.85161,36.63249,74.1251,66.11661,47.95666,46.3815,55.79067,52.42301,55.57213,54.54951,70.25091,94.57712,50.47673,62.53008,38.97737,38.94468,42.01882,75.62199,52.63851,53.10783,52.09835,50.32152,74.83385,54.42664,58.07671,86.31935,49.74277,71.43025,67.30833
BAALC-AS2,27.04769,32.88146,27.46181,19.37895,25.6224,29.56822,35.48272,21.69595,36.46112,36.78208,33.78203,32.55042,28.97911,29.08144,27.27402,29.91844,32.65756,33.29528,30.46852,45.71232,30.82786,45.19756,24.96568,23.18719,34.46569,29.93584,35.28883,22.27405,32.1203,35.76426,40.27777,39.39256,28.2665,28.8377,35.90009,34.60428,27.16189,37.32874,28.83678,28.91243,38.28868,31.31873,35.33343,22.39126,32.38885,28.18704,35.84209,34.00852,31.41647,38.29184,25.68157,28.35175,48.69633,22.06824,34.33918,30.69044,32.75904,27.29865,32.03094,43.17499,23.4592,36.1149,62.97776,34.78944,31.29225,33.50245,24.68272,34.4244,31.41555,39.11257,24.19714,28.7512,32.60117,32.77844,26.76396,43.19369,34.84555,40.10499,35.59029,23.89717,36.09936,33.53681,16.84343,24.60528,28.22845,26.19044,28.05643,28.98871,25.30919,27.60531,24.96931,33.67502,54.32404,17.45216,40.63842,20.92735,30.73704,24.52888,32.14943,31.63297,26.30967,32.26977,29.31726,36.29989
BASP1-AS1,172.70916,74.32522,205.49101,196.30757,148.13698,138.65295,124.88553,116.84801,169.42589,210.73343,200.01093,175.40768,178.55366,246.44823,85.7623,170.34233,132.65393,134.25941,119.56828,119.0443,110.35091,134.79608,123.13947,167.42225,157.39286,235.59784,153.25144,126.51386,191.53944,161.4753,180.50364,130.70199,217.72881,132.29037,150.0064,177.41416,156.82258,202.49986,227.88069,172.4648,126.33182,135.816,153.46047,143.17792,206.20386,140.67761,165.27012,154.93173,162.5592,167.79486,162.3228,182.57198,188.17333,186.87567,167.22047,193.00746,143.47999,109.25611,154.9671,161.52187,133.72881,191.85829,265.24218,141.81767,105.02314,180.13113,150.06168,161.1419,148.53439,151.4692,231.19546,160.28729,251.44682,125.7557,213.09754,247.68886,155.65777,136.41554,139.27822,144.95661,128.04524,101.15334,127.39864,117.29099,247.62994,187.91954,172.63065,187.36214,187.72628,129.93655,148.67922,102.53106,97.6873,163.76073,125.52497,146.72205,146.48299,176.79374,223.46355,172.01523,156.7588,121.8429,167.97155,173.62429
