"","3","11","17","18","52","60","75","76","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","124","125","129","136","137","139","143","148","150","151","152","154","157","158","160","161","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186"
"ARHGAP5-AS1",70.85199,55.05693,37.58281,43.99037,51.73647,49.24573,38.98684,28.4243,43.48689,36.55908,42.48644,40.90633,50.02091,46.61016,53.10382,35.12337,48.77993,27.48168,44.41336,35.04348,56.80349,46.33337,44.6984,50.47195,39.29552,36.04682,35.90207,48.76665,52.81148,57.68609,38.91241,46.5931,48.65521,55.91654,81.04329,47.2496,62.55877,37.10842,54.38168,47.3087,40.91311,42.82824,36.77474,109.39263,41.07355,56.53104,88.50504,29.89158,68.70249,50.08636,67.41925,39.88352,52.19064,40.35632,43.97965,44.46602,54.79306,60.57841,37.84822,45.60343,63.92064,42.90219,39.50412,52.64675,55.28819,54.47789,52.82028,29.91475,68.31235,55.28295,71.88313,81.34522,67.47228,59.21574,63.29744,61.61078,67.58418,72.7392,79.29855,65.21848,64.13731,63.04572
"ARRDC1-AS1",108.04542,102.17475,95.74431,117.51701,93.27536,98.4549,86.45467,88.66818,106.52398,90.80184,123.07826,107.73901,101.57236,113.12253,99.93562,103.80401,114.42994,96.1962,103.23989,91.26298,92.29462,96.25301,72.27492,105.13665,101.28258,89.65174,126.60872,87.08817,103.9613,83.81379,108.3843,114.9736,130.82488,109.99459,135.20151,91.62438,104.6385,105.9454,112.18506,79.19747,91.51542,122.2999,104.20617,98.79824,103.32567,100.6879,122.14266,127.68248,52.22823,130.62992,107.94823,116.18325,106.11469,123.90466,125.88708,115.9172,107.323,93.12986,98.40123,120.78603,52.93402,107.36772,138.58513,118.92558,120.38898,102.08147,131.04852,94.05903,104.3054,108.44315,263.29088,173.80814,209.39888,194.34008,275.04811,227.5402,228.74682,183.20783,207.80723,212.393,204.54885,236.40171
"ASB16-AS1",202.92487,208.11218,174.74441,214.79197,217.48297,254.90993,185.04546,182.79984,227.46645,187.89145,239.42545,219.30725,249.34115,216.29328,200.35402,182.66371,220.07136,182.10032,212.04044,208.54373,177.02874,206.85411,142.76924,195.12141,198.93855,184.49557,227.6542,196.52657,216.93057,176.48627,188.26668,200.31399,239.16853,211.35594,237.16797,204.34724,234.19012,206.60533,213.74909,172.83577,207.93381,256.80278,217.41849,171.54021,259.48012,199.33331,183.15215,219.64387,177.55373,259.2254,258.63317,300.17685,285.49311,297.99872,251.46655,307.16858,284.65432,195.32566,204.31527,247.03849,175.88295,167.33653,257.25446,295.54805,256.06484,295.46757,288.55789,250.9239,213.97854,249.95074,331.67227,339.7686,341.83961,305.68874,328.11558,371.97893,320.89757,362.62782,310.02784,328.71563,321.66047,322.17083
"ASMTL-AS1",140.391385,109.43719,87.319565,117.57601,118.671235,98.35416,89.26695,80.81579,135.01971,89.51393,116.543715,99.9501,123.229735,94.31213,119.46888,97.596295,102.67199,93.478815,99.13937,99.00199,120.566435,95.56098,105.722175,98.672635,108.965075,69.619995,93.985945,98.723955,127.37732,143.45287,80.49771,104.947725,99.07772,145.13592,159.46573,113.57517,172.61302,114.368235,87.519615,123.49821,106.63766,93.85713,98.21432,212.516,108.101285,144.438935,136.20624,73.868805,87.208395,87.694105,112.690945,82.346105,126.17878,85.668135,82.213215,92.1618,122.03506,128.737325,57.987275,102.52561,124.733505,149.752505,70.986975,106.916695,137.3886,84.20993,113.966335,84.9329,153.265145,125.537785,106.232065,110.59869,111.413865,80.472075,92.58984,123.488195,91.668885,106.6075,107.83921,91.66036,96.46782,103.872465
"ATP6V0E2-AS1",111.88472,135.28497,151.60326,153.64413,135.92417,159.12173,102.91947,92.20946,139.41208,90.02198,131.08353,155.62896,153.95843,173.35568,186.11272,124.58679,157.56818,140.78708,106.89929,152.76275,103.93118,132.60774,80.00653,112.56377,109.02614,114.41574,105.44487,76.78492,79.92757,110.93641,127.41705,184.20709,144.10773,134.59351,169.88384,152.38717,132.28944,146.67155,137.56554,114.57182,137.72401,144.892,112.03762,151.53974,98.73321,117.83041,182.00805,147.53472,71.49487,150.64384,152.7834,119.55462,140.35274,141.10219,124.3608,132.77517,131.44787,109.98682,122.18884,143.52168,141.41943,136.62942,102.26194,139.04788,186.10576,138.98357,148.2712,120.47481,135.93346,137.48099,134.66143,103.48396,107.53889,146.37449,149.44862,130.40787,150.85474,127.74392,119.02652,129.49062,165.73666,108.33065
"B3GALT5-AS1",56.93181,61.62395,56.89498,58.07104,68.15688,40.29949,62.17409,55.76883,61.25802,49.38107,43.17033,46.02053,59.83714,49.76863,53.19212,48.19573,50.96152,43.21332,45.09875,52.76201,42.11353,55.72045,34.85843,53.8623,51.3961,62.01155,44.63494,53.67762,46.21568,74.14384,48.6749,55.18396,48.56706,61.67318,78.79082,64.64044,69.26456,69.30914,44.9582,60.00104,48.85099,51.45174,47.23386,161.27146,50.36101,84.01787,89.83559,32.79589,58.09943,53.07804,60.81563,41.99053,58.05939,47.94047,53.54877,67.19339,58.75461,79.48079,61.65173,44.129,63.17589,49.23888,61.86797,37.03672,38.23638,45.00748,52.42334,50.93463,70.44085,47.98807,77.03679,64.82291,65.2661,53.51126,56.57291,75.81114,60.44248,74.19375,79.69,60.84636,62.41902,55.79093
"BAALC-AS2",33.08244,37.92605,32.56977,36.61705,42.24036,30.3889,28.7316,28.02725,30.06774,25.29214,27.55607,26.86131,27.09285,36.4617,26.28202,28.02713,43.13627,34.51665,36.86998,27.2439,35.17859,30.17273,33.28193,42.63885,26.4465,24.96542,24.91777,39.91625,29.7876,28.18511,28.82475,37.37757,37.12558,40.29288,43.04968,34.01876,49.45602,37.06632,33.13914,32.56788,27.73852,32.8958,31.04975,66.78928,30.84182,41.63921,28.99651,35.91906,26.93223,19.16385,44.06608,31.0188,35.63443,34.33455,18.55776,33.95552,49.21187,25.40038,32.68547,29.85769,46.81552,27.5626,35.42042,30.81151,52.83309,22.16837,22.16949,30.49929,38.24149,41.01227,51.83743,33.45158,45.11405,39.54205,43.25831,44.88563,45.03526,44.47634,55.51585,46.87054,41.56012,35.68747
"BASP1-AS1",149.7831,187.28904,151.61607,200.2906,185.63822,159.93997,144.73244,126.2139,280.57635,151.26056,189.47668,143.45952,159.83503,167.4986,143.75803,209.71408,149.4873,169.91554,146.95071,99.56905,137.11331,167.55139,136.78958,182.9849,202.4504,126.67945,146.88196,219.67342,180.6053,164.90265,163.51253,193.23565,130.96748,190.50199,189.10883,170.41877,209.50126,178.5001,125.81416,216.36714,98.70485,129.64513,151.4608,270.53291,166.08778,127.30332,215.0265,113.32959,108.68401,120.84669,139.94674,129.70433,128.42125,141.79899,154.45494,119.12193,226.87024,212.44593,154.7096,162.74197,134.02445,102.00725,155.28057,125.89783,135.08422,142.33768,115.09276,105.42962,178.15203,131.18644,360.74069,294.60884,170.14891,180.1095,233.6875,224.18156,148.95719,229.24212,230.56576,258.35315,214.28152,139.83801
"BIN3-IT1",84.19081,107.79902,63.25063,99.11911,101.48859,122.71295,80.14665,72.55938,129.52675,80.52145,104.16476,100.26366,96.67862,109.8076,89.56837,112.25765,88.06857,98.98471,90.88113,62.70078,83.06485,109.96602,53.00058,84.79288,96.69554,79.7062,108.07895,84.74632,94.04418,88.19578,82.92789,145.71994,96.10154,103.04232,115.61819,119.3807,103.36125,99.36617,88.98904,94.53964,99.00159,133.03019,119.21802,126.93542,114.01272,98.15634,87.03423,133.9616,99.56401,115.25004,130.88636,110.49794,173.00034,148.93976,134.13309,132.07501,157.85525,100.50299,78.97492,146.40118,95.22967,117.58428,128.37631,101.70197,122.65301,88.2012,125.17539,78.26139,141.10323,159.68367,143.47275,180.28219,193.54963,154.26337,154.0021,172.08359,182.73331,156.88763,151.89649,156.2728,166.35914,162.96299
"BPESC1",265.00623,345.12705,338.8673,309.08822,414.90153,324.20813,235.17441,267.48128,309.12647,375.56127,375.75874,261.55963,348.84866,297.0213,322.00211,291.03306,265.24558,326.85211,259.26428,340.36802,353.84056,273.50833,376.67806,327.38241,357.63607,345.1492,244.04723,360.49054,317.34908,360.69374,278.80454,290.9981,296.21941,382.04579,399.23694,292.82434,325.17891,347.45363,269.85184,324.68315,389.55095,289.994,239.47578,530.38722,319.5602,555.63383,249.32429,387.64429,443.76252,301.7431,342.83304,328.73612,503.92063,294.66409,308.75668,317.9198,403.22943,584.39117,355.58404,447.91624,430.56014,436.30269,323.69211,321.95259,488.949,392.91507,252.173,305.91879,580.00835,326.62179,392.76265,406.50116,424.76624,279.17602,19.56303,386.35617,342.52772,387.81447,435.33888,359.32775,315.48608,28.16318
